Location,Place_Type,Date,Day,Hour,Weekend,Holiday,Special_Event_or_Festival,Weather,Temperature,Traffic_Level,Parking_Occupancy,Mobile_Density,Historical_Average_Visitors,Crowd_Level,Waiting_Time
Golconda Fort,Tourist,2025-01-09,Thursday,15,No,No,No,Sunny,23.9,Medium,66.2,Medium,4724,High,65
Golconda Fort,Tourist,2025-01-09,Thursday,19,No,No,No,Cloudy,18.7,Medium,73.4,Medium,5952,High,80
Golconda Fort,Tourist,2025-01-10,Friday,8,No,No,No,Rainy,22.6,Medium,51.7,Medium,3349,Medium,25
Golconda Fort,Tourist,2025-01-10,Friday,11,No,No,No,Sunny,21.4,High,67.4,High,5144,High,102
Golconda Fort,Tourist,2025-01-10,Friday,15,No,No,No,Sunny,25.8,High,90.5,High,5543,Very High,101
Golconda Fort,Tourist,2025-01-10,Friday,19,No,No,No,Rainy,24.0,Medium,57.0,Low,5753,High,40
Golconda Fort,Tourist,2025-01-11,Saturday,8,Yes,No,No,Sunny,23.0,High,64.8,Medium,4350,High,56
Golconda Fort,Tourist,2025-01-11,Saturday,11,Yes,No,No,Cloudy,25.6,Medium,67.2,High,5844,High,49
Golconda Fort,Tourist,2025-01-11,Saturday,15,Yes,No,No,Rainy,24.2,Medium,26.3,Low,5428,Medium,30
Golconda Fort,Tourist,2025-01-11,Saturday,19,Yes,No,No,Sunny,22.2,High,82.8,High,6543,Very High,185
Golconda Fort,Tourist,2025-01-12,Sunday,8,Yes,No,No,Sunny,24.2,Medium,34.7,Medium,3829,High,73
Golconda Fort,Tourist,2025-01-12,Sunday,11,Yes,No,No,Rainy,25.0,Medium,49.1,Medium,6014,Medium,55
Golconda Fort,Tourist,2025-01-12,Sunday,15,Yes,No,No,Sunny,22.3,High,63.9,Medium,5577,High,49
Golconda Fort,Tourist,2025-01-12,Sunday,19,Yes,No,No,Cloudy,21.0,Low,67.9,Medium,6288,High,49
Golconda Fort,Tourist,2025-01-13,Monday,8,No,No,No,Sunny,22.9,Medium,56.6,Low,3715,Medium,45
Golconda Fort,Tourist,2025-01-13,Monday,11,No,No,No,Cloudy,24.5,Low,43.9,Medium,5642,High,28
Golconda Fort,Tourist,2025-01-13,Monday,15,No,No,No,Cloudy,27.1,High,61.5,Medium,6037,Very High,78
Golconda Fort,Tourist,2025-01-13,Monday,19,No,No,No,Rainy,20.8,High,47.6,Medium,5422,Medium,50
Golconda Fort,Tourist,2025-01-14,Tuesday,8,No,Yes,Yes,Cloudy,23.2,Medium,55.0,Low,5025,Medium,89
Golconda Fort,Tourist,2025-01-14,Tuesday,11,No,Yes,Yes,Sunny,22.6,Medium,71.6,Medium,7605,High,92
Golconda Fort,Tourist,2025-01-14,Tuesday,15,No,Yes,Yes,Rainy,25.9,Low,42.8,Low,7312,Medium,68
Golconda Fort,Tourist,2025-01-14,Tuesday,19,No,Yes,Yes,Sunny,25.3,High,52.5,Medium,7881,Very High,102
Golconda Fort,Tourist,2025-01-15,Wednesday,8,No,No,No,Sunny,23.5,Low,52.3,High,3280,High,64
Golconda Fort,Tourist,2025-01-15,Wednesday,11,No,No,No,Cloudy,23.3,High,73.3,High,5676,High,98
Golconda Fort,Tourist,2025-01-15,Wednesday,15,No,No,No,Sunny,25.3,High,70.8,High,5417,Very High,96
Golconda Fort,Tourist,2025-01-15,Wednesday,19,No,No,No,Cloudy,22.6,Medium,68.7,High,5650,High,72
Golconda Fort,Tourist,2025-01-16,Thursday,8,No,No,No,Sunny,21.8,Low,47.1,Medium,3875,Medium,43
Golconda Fort,Tourist,2025-01-16,Thursday,11,No,No,No,Cloudy,24.4,High,73.4,High,5123,Very High,150
Golconda Fort,Tourist,2025-01-16,Thursday,15,No,No,No,Sunny,25.7,Medium,64.8,Medium,5241,High,53
Golconda Fort,Tourist,2025-01-16,Thursday,19,No,No,No,Sunny,21.6,Medium,78.2,High,5282,High,96
Golconda Fort,Tourist,2025-01-17,Friday,8,No,No,No,Sunny,23.8,Medium,47.7,High,3969,Medium,40
Golconda Fort,Tourist,2025-01-17,Friday,11,No,No,No,Sunny,23.1,High,94.2,Medium,5962,Very High,90
Golconda Fort,Tourist,2025-01-17,Friday,15,No,No,No,Cloudy,22.1,High,89.1,High,5630,Very High,85
Golconda Fort,Tourist,2025-01-17,Friday,19,No,No,No,Sunny,21.9,Medium,84.3,Medium,5208,Very High,99
Golconda Fort,Tourist,2025-01-18,Saturday,8,Yes,No,No,Sunny,25.4,Medium,53.1,Medium,3920,Medium,54
Golconda Fort,Tourist,2025-01-18,Saturday,11,Yes,No,No,Cloudy,20.7,High,56.7,Medium,5753,Very High,86
Golconda Fort,Tourist,2025-01-18,Saturday,15,Yes,No,No,Sunny,23.5,High,80.0,High,6687,Very High,70
Golconda Fort,Tourist,2025-01-18,Saturday,19,Yes,No,No,Cloudy,23.1,High,83.8,High,7138,High,113
Golconda Fort,Tourist,2025-01-19,Sunday,8,Yes,No,No,Sunny,24.8,Medium,29.9,Medium,4471,Medium,47
Golconda Fort,Tourist,2025-01-19,Sunday,11,Yes,No,No,Sunny,25.0,High,76.3,High,6350,Very High,120
Golconda Fort,Tourist,2025-01-19,Sunday,15,Yes,No,No,Cloudy,26.0,High,62.2,Medium,6704,High,42
Golconda Fort,Tourist,2025-01-19,Sunday,19,Yes,No,No,Sunny,22.8,Medium,71.2,High,6658,Very High,83
Golconda Fort,Tourist,2025-01-20,Monday,8,No,No,No,Rainy,23.4,Low,33.5,Medium,3452,Low,17
Golconda Fort,Tourist,2025-01-20,Monday,11,No,No,No,Cloudy,24.6,Medium,59.7,Medium,5211,High,64
Golconda Fort,Tourist,2025-01-20,Monday,15,No,No,No,Cloudy,21.7,High,75.6,Medium,5407,High,70
Golconda Fort,Tourist,2025-01-20,Monday,19,No,No,No,Sunny,23.6,Medium,67.1,High,5955,Very High,90
Golconda Fort,Tourist,2025-01-21,Tuesday,8,No,No,No,Sunny,25.3,Medium,59.9,Medium,3453,High,48
Golconda Fort,Tourist,2025-01-21,Tuesday,11,No,No,No,Sunny,24.1,High,74.8,High,5759,Very High,108
Golconda Fort,Tourist,2025-01-21,Tuesday,15,No,No,No,Cloudy,24.9,Medium,81.3,Medium,5780,High,99
Golconda Fort,Tourist,2025-01-21,Tuesday,19,No,No,No,Sunny,22.7,Medium,66.4,High,5564,Very High,97
Golconda Fort,Tourist,2025-01-22,Wednesday,8,No,No,No,Sunny,20.5,Medium,50.7,Medium,3210,High,55
Golconda Fort,Tourist,2025-01-22,Wednesday,11,No,No,No,Sunny,24.0,High,63.8,High,5563,High,98
Golconda Fort,Tourist,2025-01-22,Wednesday,15,No,No,No,Rainy,25.6,High,49.7,Medium,5188,Medium,35
Golconda Fort,Tourist,2025-01-22,Wednesday,19,No,No,No,Cloudy,25.6,High,78.9,Medium,6065,High,82
Golconda Fort,Tourist,2025-01-23,Thursday,8,No,No,No,Rainy,20.2,Medium,55.3,Medium,3504,Medium,27
Golconda Fort,Tourist,2025-01-23,Thursday,11,No,No,No,Cloudy,24.2,High,77.7,High,5509,Very High,84
Golconda Fort,Tourist,2025-01-23,Thursday,15,No,No,No,Rainy,25.3,Medium,39.0,Medium,6004,Medium,38
Golconda Fort,Tourist,2025-01-23,Thursday,19,No,No,No,Sunny,27.7,High,68.3,High,5551,High,80
Golconda Fort,Tourist,2025-01-24,Friday,8,No,No,No,Sunny,19.9,Medium,43.3,Medium,3638,Medium,63
Golconda Fort,Tourist,2025-01-24,Friday,11,No,No,No,Sunny,22.9,Medium,52.3,Medium,5232,Medium,56
Golconda Fort,Tourist,2025-01-24,Friday,15,No,No,No,Rainy,23.6,Medium,54.5,Medium,5822,Medium,56
Golconda Fort,Tourist,2025-01-24,Friday,19,No,No,No,Sunny,23.8,High,72.1,High,5985,High,123
Golconda Fort,Tourist,2025-01-25,Saturday,8,Yes,No,No,Cloudy,23.2,Medium,32.0,Medium,4487,Medium,32
Golconda Fort,Tourist,2025-01-25,Saturday,11,Yes,No,No,Cloudy,21.1,High,54.5,Medium,6180,High,53
Golconda Fort,Tourist,2025-01-25,Saturday,15,Yes,No,No,Rainy,26.9,Medium,31.1,Low,5577,Medium,31
Golconda Fort,Tourist,2025-01-25,Saturday,19,Yes,No,No,Sunny,25.8,Medium,62.6,Medium,6301,High,59
Golconda Fort,Tourist,2025-01-26,Sunday,8,Yes,Yes,No,Cloudy,23.7,Medium,56.7,Medium,4922,High,68
Golconda Fort,Tourist,2025-01-26,Sunday,11,Yes,Yes,No,Sunny,23.2,High,69.0,Medium,6699,High,122
Golconda Fort,Tourist,2025-01-26,Sunday,15,Yes,Yes,No,Sunny,21.7,High,83.2,High,6765,Very High,142
Golconda Fort,Tourist,2025-01-26,Sunday,19,Yes,Yes,No,Rainy,22.0,Medium,56.8,Medium,6930,High,92
Golconda Fort,Tourist,2025-01-27,Monday,8,No,No,No,Rainy,24.7,Low,39.7,Low,3665,Low,22
Golconda Fort,Tourist,2025-01-27,Monday,11,No,No,No,Sunny,23.0,High,63.6,High,5052,High,93
Golconda Fort,Tourist,2025-01-27,Monday,15,No,No,No,Sunny,19.1,Medium,61.9,Medium,5177,High,88
Golconda Fort,Tourist,2025-01-27,Monday,19,No,No,No,Sunny,25.3,Medium,67.0,High,5589,High,73
Golconda Fort,Tourist,2025-01-28,Tuesday,8,No,No,No,Sunny,23.4,High,54.0,Medium,3684,High,30
Golconda Fort,Tourist,2025-01-28,Tuesday,11,No,No,No,Sunny,23.1,High,75.5,High,5427,Very High,84
Golconda Fort,Tourist,2025-01-28,Tuesday,15,No,No,No,Sunny,20.0,Medium,74.8,High,5568,High,91
Golconda Fort,Tourist,2025-01-28,Tuesday,19,No,No,No,Sunny,22.7,Medium,78.5,High,5568,Very High,116
Golconda Fort,Tourist,2025-01-29,Wednesday,8,No,No,No,Sunny,25.8,Medium,41.2,Medium,3485,High,62
Golconda Fort,Tourist,2025-01-29,Wednesday,11,No,No,No,Cloudy,27.8,Medium,55.8,Medium,5359,Very High,80
Golconda Fort,Tourist,2025-01-29,Wednesday,15,No,No,No,Rainy,23.4,Low,42.5,Medium,5179,Medium,48
Golconda Fort,Tourist,2025-01-29,Wednesday,19,No,No,No,Sunny,25.7,Medium,65.0,Medium,6533,High,70
Golconda Fort,Tourist,2025-01-30,Thursday,8,No,No,No,Sunny,25.7,Medium,47.5,Medium,3709,High,61
Golconda Fort,Tourist,2025-01-30,Thursday,11,No,No,No,Sunny,24.0,High,68.8,High,6082,Very High,86
Golconda Fort,Tourist,2025-01-30,Thursday,15,No,No,No,Cloudy,25.4,Medium,56.8,High,5404,High,98
Golconda Fort,Tourist,2025-01-30,Thursday,19,No,No,No,Sunny,23.1,High,81.0,High,5727,Very High,135
Golconda Fort,Tourist,2025-01-31,Friday,8,No,No,No,Rainy,26.2,Low,24.7,Low,3997,Low,23
Golconda Fort,Tourist,2025-01-31,Friday,11,No,No,No,Sunny,25.7,Medium,74.5,High,5471,Very High,92
Golconda Fort,Tourist,2025-01-31,Friday,15,No,No,No,Cloudy,25.1,High,68.2,High,6406,High,83
Golconda Fort,Tourist,2025-01-31,Friday,19,No,No,No,Sunny,22.9,High,82.5,High,5554,Very High,108
Golconda Fort,Tourist,2025-02-01,Saturday,8,Yes,No,No,Cloudy,25.4,High,44.4,Medium,4118,Medium,54
Golconda Fort,Tourist,2025-02-01,Saturday,11,Yes,No,No,Sunny,24.9,High,63.4,Medium,6100,Very High,93
Golconda Fort,Tourist,2025-02-01,Saturday,15,Yes,No,No,Sunny,27.6,High,75.8,Medium,6343,High,93
Golconda Fort,Tourist,2025-02-01,Saturday,19,Yes,No,No,Rainy,22.4,Medium,57.8,High,6667,Medium,53
Golconda Fort,Tourist,2025-02-02,Sunday,8,Yes,No,No,Cloudy,24.2,Medium,47.9,Medium,4442,High,57
Golconda Fort,Tourist,2025-02-02,Sunday,11,Yes,No,No,Sunny,21.2,High,49.8,Medium,6935,High,70
Golconda Fort,Tourist,2025-02-02,Sunday,15,Yes,No,No,Sunny,24.3,High,72.3,High,6350,Very High,111
Golconda Fort,Tourist,2025-02-02,Sunday,19,Yes,No,No,Sunny,27.7,High,55.2,High,6865,High,71
Golconda Fort,Tourist,2025-02-03,Monday,8,No,No,No,Sunny,25.3,Medium,48.5,High,3405,High,52
Golconda Fort,Tourist,2025-02-03,Monday,11,No,No,No,Cloudy,22.6,High,83.8,Medium,6017,Very High,107
Golconda Fort,Tourist,2025-02-03,Monday,15,No,No,No,Sunny,25.5,High,68.6,Medium,5547,Very High,76
Golconda Fort,Tourist,2025-02-03,Monday,19,No,No,No,Sunny,24.4,Medium,67.7,High,5432,Very High,99
Golconda Fort,Tourist,2025-02-04,Tuesday,8,No,No,No,Sunny,26.0,Low,56.8,Medium,3872,High,61
Golconda Fort,Tourist,2025-02-04,Tuesday,11,No,No,No,Sunny,25.7,Medium,86.6,Medium,5667,High,90
Golconda Fort,Tourist,2025-02-04,Tuesday,15,No,No,No,Sunny,26.8,High,69.5,Medium,5749,High,90
Golconda Fort,Tourist,2025-02-04,Tuesday,19,No,No,No,Sunny,25.3,High,73.3,High,5825,Very High,138
Golconda Fort,Tourist,2025-02-05,Wednesday,8,No,No,No,Sunny,23.6,Medium,64.2,Medium,3695,High,59
Golconda Fort,Tourist,2025-02-05,Wednesday,11,No,No,No,Cloudy,24.8,Medium,44.7,High,5515,High,70
Golconda Fort,Tourist,2025-02-05,Wednesday,15,No,No,No,Cloudy,24.3,High,85.6,High,5235,Very High,109
Golconda Fort,Tourist,2025-02-05,Wednesday,19,No,No,No,Sunny,26.4,Medium,87.6,High,5669,Very High,128
Golconda Fort,Tourist,2025-02-06,Thursday,8,No,No,No,Cloudy,25.3,Medium,55.9,Medium,3493,Medium,51
Golconda Fort,Tourist,2025-02-06,Thursday,11,No,No,No,Cloudy,26.7,Medium,74.7,Medium,5624,High,85
Golconda Fort,Tourist,2025-02-06,Thursday,15,No,No,No,Cloudy,23.9,High,86.8,High,5811,Very High,95
Golconda Fort,Tourist,2025-02-06,Thursday,19,No,No,No,Cloudy,23.6,High,80.1,High,5944,Very High,144
Golconda Fort,Tourist,2025-02-07,Friday,8,No,No,No,Sunny,26.5,Medium,42.3,Medium,3987,High,42
Golconda Fort,Tourist,2025-02-07,Friday,11,No,No,No,Sunny,25.2,Medium,67.1,High,5302,High,74
Golconda Fort,Tourist,2025-02-07,Friday,15,No,No,No,Sunny,23.4,High,67.0,Medium,5452,High,59
Golconda Fort,Tourist,2025-02-07,Friday,19,No,No,No,Sunny,24.9,High,70.6,High,5856,Very High,124
Golconda Fort,Tourist,2025-02-08,Saturday,8,Yes,No,No,Sunny,26.7,Medium,38.2,Medium,4029,Medium,39
Golconda Fort,Tourist,2025-02-08,Saturday,11,Yes,No,No,Cloudy,24.2,High,66.6,High,5839,High,77
Golconda Fort,Tourist,2025-02-08,Saturday,15,Yes,No,No,Sunny,24.9,High,55.3,Medium,6884,High,60
Golconda Fort,Tourist,2025-02-08,Saturday,19,Yes,No,No,Sunny,22.3,High,80.7,High,6564,Very High,121
Golconda Fort,Tourist,2025-02-09,Sunday,8,Yes,No,No,Cloudy,26.2,Medium,37.4,Medium,4410,Medium,31
Golconda Fort,Tourist,2025-02-09,Sunday,11,Yes,No,No,Rainy,25.2,Medium,66.2,Medium,6275,High,55
Golconda Fort,Tourist,2025-02-09,Sunday,15,Yes,No,No,Sunny,25.9,Medium,49.6,High,5885,High,73
Golconda Fort,Tourist,2025-02-09,Sunday,19,Yes,No,No,Rainy,27.4,Medium,42.4,Medium,6565,Medium,65
Golconda Fort,Tourist,2025-02-10,Monday,8,No,No,No,Rainy,25.1,Medium,38.2,Medium,3569,Medium,26
Golconda Fort,Tourist,2025-02-10,Monday,11,No,No,No,Sunny,24.3,High,80.2,High,5634,High,86
Golconda Fort,Tourist,2025-02-10,Monday,15,No,No,No,Sunny,24.7,Medium,70.7,High,5420,Very High,122
Golconda Fort,Tourist,2025-02-10,Monday,19,No,No,No,Cloudy,25.4,High,82.4,High,5842,Very High,103
Golconda Fort,Tourist,2025-02-11,Tuesday,8,No,No,No,Sunny,22.6,Medium,34.1,Medium,3835,High,37
Golconda Fort,Tourist,2025-02-11,Tuesday,11,No,No,No,Sunny,22.6,Medium,56.7,Medium,5916,High,41
Golconda Fort,Tourist,2025-02-11,Tuesday,15,No,No,No,Rainy,23.8,Medium,55.4,Medium,5360,High,71
Golconda Fort,Tourist,2025-02-11,Tuesday,19,No,No,No,Rainy,22.7,Medium,74.3,Medium,5392,Medium,44
Golconda Fort,Tourist,2025-02-12,Wednesday,8,No,No,No,Sunny,24.2,High,47.3,High,3706,High,72
Golconda Fort,Tourist,2025-02-12,Wednesday,11,No,No,No,Cloudy,22.5,Medium,54.8,Medium,5327,High,82
Golconda Fort,Tourist,2025-02-12,Wednesday,15,No,No,No,Sunny,24.2,High,68.5,High,5040,Very High,117
Golconda Fort,Tourist,2025-02-12,Wednesday,19,No,No,No,Rainy,25.3,High,80.8,High,6036,High,86
Golconda Fort,Tourist,2025-02-13,Thursday,8,No,No,No,Sunny,25.2,High,55.3,Medium,3194,High,55
Golconda Fort,Tourist,2025-02-13,Thursday,11,No,No,No,Sunny,24.5,High,70.6,High,5727,Very High,115
Golconda Fort,Tourist,2025-02-13,Thursday,15,No,No,No,Sunny,22.7,Medium,75.4,High,5610,High,73
Golconda Fort,Tourist,2025-02-13,Thursday,19,No,No,No,Sunny,22.9,Medium,40.1,High,5647,High,79
Golconda Fort,Tourist,2025-02-14,Friday,8,No,No,No,Rainy,22.2,Low,27.2,Medium,3514,Medium,41
Golconda Fort,Tourist,2025-02-14,Friday,11,No,No,No,Rainy,23.9,Medium,36.5,Medium,5876,Medium,25
Golconda Fort,Tourist,2025-02-14,Friday,15,No,No,No,Cloudy,27.1,Medium,56.7,High,5322,High,71
Golconda Fort,Tourist,2025-02-14,Friday,19,No,No,No,Sunny,26.0,High,48.0,High,5463,High,66
Golconda Fort,Tourist,2025-02-15,Saturday,8,Yes,No,No,Sunny,25.3,High,35.5,Medium,3627,High,34
Golconda Fort,Tourist,2025-02-15,Saturday,11,Yes,No,No,Sunny,26.1,High,94.5,Medium,5702,High,80
Golconda Fort,Tourist,2025-02-15,Saturday,15,Yes,No,No,Sunny,27.4,High,74.0,Medium,6972,High,92
Golconda Fort,Tourist,2025-02-15,Saturday,19,Yes,No,No,Cloudy,28.7,High,57.0,Medium,6444,High,69
Golconda Fort,Tourist,2025-02-16,Sunday,8,Yes,No,No,Sunny,24.6,High,62.4,High,3999,Medium,46
Golconda Fort,Tourist,2025-02-16,Sunday,11,Yes,No,No,Sunny,24.4,High,68.3,High,6654,High,60
Golconda Fort,Tourist,2025-02-16,Sunday,15,Yes,No,No,Rainy,27.6,Medium,30.6,Low,6164,Medium,26
Golconda Fort,Tourist,2025-02-16,Sunday,19,Yes,No,No,Cloudy,25.5,High,64.2,High,6829,High,77
Golconda Fort,Tourist,2025-02-17,Monday,8,No,No,No,Sunny,25.6,Medium,37.5,Medium,3978,High,54
Golconda Fort,Tourist,2025-02-17,Monday,11,No,No,No,Sunny,23.1,Medium,50.9,Medium,6303,Very High,74
Golconda Fort,Tourist,2025-02-17,Monday,15,No,No,No,Rainy,25.3,Medium,59.0,Medium,6117,High,45
Golconda Fort,Tourist,2025-02-17,Monday,19,No,No,No,Sunny,22.4,High,78.1,Medium,5915,High,130
Golconda Fort,Tourist,2025-02-18,Tuesday,8,No,No,No,Cloudy,27.0,Medium,44.2,Low,3597,High,33
Golconda Fort,Tourist,2025-02-18,Tuesday,11,No,No,No,Cloudy,23.2,Medium,53.6,High,5689,High,73
Golconda Fort,Tourist,2025-02-18,Tuesday,15,No,No,No,Sunny,26.5,Medium,92.8,High,5521,Very High,140
Golconda Fort,Tourist,2025-02-18,Tuesday,19,No,No,No,Cloudy,24.7,High,91.3,Medium,5722,Very High,116
Golconda Fort,Tourist,2025-02-19,Wednesday,8,No,No,No,Sunny,24.9,Medium,41.9,Medium,3517,High,51
Golconda Fort,Tourist,2025-02-19,Wednesday,11,No,No,No,Sunny,28.0,Medium,67.4,Medium,5029,High,50
Golconda Fort,Tourist,2025-02-19,Wednesday,15,No,No,No,Rainy,27.0,Medium,47.8,Low,5297,Medium,43
Golconda Fort,Tourist,2025-02-19,Wednesday,19,No,No,No,Cloudy,25.7,Medium,57.8,Medium,5239,High,27
Golconda Fort,Tourist,2025-02-20,Thursday,8,No,No,No,Sunny,30.1,Medium,36.4,Medium,3605,Medium,44
Golconda Fort,Tourist,2025-02-20,Thursday,11,No,No,No,Rainy,26.0,Medium,43.7,Medium,5956,High,43
Golconda Fort,Tourist,2025-02-20,Thursday,15,No,No,No,Sunny,25.1,High,93.0,High,5474,Very High,91
Golconda Fort,Tourist,2025-02-20,Thursday,19,No,No,No,Sunny,24.9,Medium,66.0,High,6116,High,91
Golconda Fort,Tourist,2025-02-21,Friday,8,No,No,No,Sunny,21.2,High,43.0,Medium,3649,Medium,33
Golconda Fort,Tourist,2025-02-21,Friday,11,No,No,No,Sunny,25.8,Medium,51.3,Medium,4802,High,62
Golconda Fort,Tourist,2025-02-21,Friday,15,No,No,No,Cloudy,27.7,High,63.5,High,5012,High,75
Golconda Fort,Tourist,2025-02-21,Friday,19,No,No,No,Cloudy,27.0,High,61.6,Medium,6461,High,83
Golconda Fort,Tourist,2025-02-22,Saturday,8,Yes,No,No,Cloudy,29.0,Medium,32.3,Medium,4227,Medium,53
Golconda Fort,Tourist,2025-02-22,Saturday,11,Yes,No,No,Sunny,24.5,High,81.4,High,6466,Very High,140
Golconda Fort,Tourist,2025-02-22,Saturday,15,Yes,No,No,Cloudy,25.3,High,60.9,High,6244,High,75
Golconda Fort,Tourist,2025-02-22,Saturday,19,Yes,No,No,Sunny,24.9,High,50.7,High,6988,Very High,92
Golconda Fort,Tourist,2025-02-23,Sunday,8,Yes,No,No,Cloudy,23.7,Medium,48.8,Medium,3831,High,44
Golconda Fort,Tourist,2025-02-23,Sunday,11,Yes,No,No,Rainy,26.3,Medium,71.5,High,6178,High,81
Golconda Fort,Tourist,2025-02-23,Sunday,15,Yes,No,No,Cloudy,22.6,High,66.1,Medium,6614,High,80
Golconda Fort,Tourist,2025-02-23,Sunday,19,Yes,No,No,Cloudy,25.4,High,70.3,High,7031,High,77
Golconda Fort,Tourist,2025-02-24,Monday,8,No,No,No,Sunny,29.2,Medium,34.4,Low,3698,Medium,25
Golconda Fort,Tourist,2025-02-24,Monday,11,No,No,No,Sunny,24.5,Medium,67.6,High,5638,High,55
Golconda Fort,Tourist,2025-02-24,Monday,15,No,No,No,Sunny,29.3,Medium,83.3,Medium,5818,High,71
Golconda Fort,Tourist,2025-02-24,Monday,19,No,No,No,Cloudy,28.0,Medium,61.4,Medium,5608,High,71
Golconda Fort,Tourist,2025-02-25,Tuesday,8,No,No,No,Sunny,26.7,Medium,51.0,Medium,3705,Medium,53
Golconda Fort,Tourist,2025-02-25,Tuesday,11,No,No,No,Sunny,25.7,Medium,49.8,Medium,5727,High,53
Golconda Fort,Tourist,2025-02-25,Tuesday,15,No,No,No,Sunny,23.5,High,67.3,High,5601,Very High,87
Golconda Fort,Tourist,2025-02-25,Tuesday,19,No,No,No,Sunny,25.5,Medium,61.9,Medium,5515,Very High,85
Golconda Fort,Tourist,2025-02-26,Wednesday,8,No,No,No,Sunny,25.8,High,77.3,High,3439,Very High,84
Golconda Fort,Tourist,2025-02-26,Wednesday,11,No,No,No,Sunny,24.1,Medium,84.1,High,5553,High,90
Golconda Fort,Tourist,2025-02-26,Wednesday,15,No,No,No,Cloudy,22.3,High,80.8,Medium,5198,Very High,98
Golconda Fort,Tourist,2025-02-26,Wednesday,19,No,No,No,Rainy,28.0,Medium,42.0,Medium,5383,Medium,64
Golconda Fort,Tourist,2025-02-27,Thursday,8,No,No,No,Cloudy,28.0,Medium,42.9,Low,3812,High,47
Golconda Fort,Tourist,2025-02-27,Thursday,11,No,No,No,Rainy,26.7,Medium,30.9,Medium,5346,Medium,22
Golconda Fort,Tourist,2025-02-27,Thursday,15,No,No,No,Sunny,24.3,High,79.0,High,5443,Very High,107
Golconda Fort,Tourist,2025-02-27,Thursday,19,No,No,No,Sunny,25.2,Medium,68.7,High,5357,High,82
Golconda Fort,Tourist,2025-02-28,Friday,8,No,No,No,Sunny,25.1,Medium,41.8,Medium,3216,High,47
Golconda Fort,Tourist,2025-02-28,Friday,11,No,No,No,Sunny,25.9,High,96.4,High,5261,Very High,153
Golconda Fort,Tourist,2025-02-28,Friday,15,No,No,No,Cloudy,25.5,High,59.6,High,6062,High,84
Golconda Fort,Tourist,2025-02-28,Friday,19,No,No,No,Sunny,27.6,High,97.0,Medium,5271,Very High,119
Golconda Fort,Tourist,2025-03-01,Saturday,8,Yes,No,No,Cloudy,25.6,High,48.5,Medium,4396,High,53
Golconda Fort,Tourist,2025-03-01,Saturday,11,Yes,No,No,Sunny,20.9,Medium,57.4,High,6387,High,86
Golconda Fort,Tourist,2025-03-01,Saturday,15,Yes,No,No,Rainy,27.7,Medium,42.9,Medium,6543,High,60
Golconda Fort,Tourist,2025-03-01,Saturday,19,Yes,No,No,Sunny,23.4,Medium,71.1,High,6826,Very High,86
Golconda Fort,Tourist,2025-03-02,Sunday,8,Yes,No,No,Sunny,30.8,Medium,42.7,Medium,4070,Medium,31
Golconda Fort,Tourist,2025-03-02,Sunday,11,Yes,No,No,Sunny,26.8,High,68.8,High,6464,High,101
Golconda Fort,Tourist,2025-03-02,Sunday,15,Yes,No,No,Cloudy,25.1,Medium,88.1,Medium,6108,High,78
Golconda Fort,Tourist,2025-03-02,Sunday,19,Yes,No,No,Rainy,28.7,High,48.2,Medium,6199,High,78
Golconda Fort,Tourist,2025-03-03,Monday,8,No,No,No,Sunny,29.0,Medium,47.3,Low,3138,Medium,48
Golconda Fort,Tourist,2025-03-03,Monday,11,No,No,No,Sunny,24.5,Medium,53.0,Medium,5374,High,55
Golconda Fort,Tourist,2025-03-03,Monday,15,No,No,No,Sunny,26.2,High,84.8,High,5429,Very High,147
Golconda Fort,Tourist,2025-03-03,Monday,19,No,No,No,Sunny,26.6,Medium,89.4,High,5816,Very High,105
Golconda Fort,Tourist,2025-03-04,Tuesday,8,No,No,No,Sunny,21.8,Medium,54.7,Low,3876,Medium,18
Golconda Fort,Tourist,2025-03-04,Tuesday,11,No,No,No,Sunny,27.7,Medium,67.8,Medium,5318,High,57
Golconda Fort,Tourist,2025-03-04,Tuesday,15,No,No,No,Rainy,25.7,Medium,47.8,Medium,5750,Medium,36
Golconda Fort,Tourist,2025-03-04,Tuesday,19,No,No,No,Sunny,23.5,Medium,75.6,Medium,5913,Very High,92
Golconda Fort,Tourist,2025-03-05,Wednesday,8,No,No,No,Rainy,22.5,Low,20.4,Low,3649,Medium,20
Golconda Fort,Tourist,2025-03-05,Wednesday,11,No,No,No,Cloudy,26.2,Medium,63.1,High,5294,High,73
Golconda Fort,Tourist,2025-03-05,Wednesday,15,No,No,No,Sunny,24.3,High,74.9,High,5442,Very High,92
Golconda Fort,Tourist,2025-03-05,Wednesday,19,No,No,No,Sunny,25.1,Medium,86.1,Medium,5712,Very High,115
Golconda Fort,Tourist,2025-03-06,Thursday,8,No,No,No,Sunny,28.5,Medium,64.2,High,4024,High,37
Golconda Fort,Tourist,2025-03-06,Thursday,11,No,No,No,Cloudy,23.5,Medium,78.7,Medium,6217,High,77
Golconda Fort,Tourist,2025-03-06,Thursday,15,No,No,No,Sunny,27.6,High,60.0,High,5748,High,62
Golconda Fort,Tourist,2025-03-06,Thursday,19,No,No,No,Sunny,26.4,High,65.6,High,5946,High,88
Golconda Fort,Tourist,2025-03-07,Friday,8,No,No,No,Cloudy,27.3,Medium,33.3,Medium,3406,Medium,27
