Location,Place_Type,Date,Day,Hour,Weekend,Holiday,Special_Event_or_Festival,Weather,Traffic,Parking_Percentage,Mobile_Density,Crowd_Level,Estimated_Waiting_Time,Online_Booking_Available,Booked_Visitors,Entry_Token_Available,Tokens_Issued,Public_Transport_Load,School_or_Office_Holiday,Place_Capacity_Indicator,Next_2_Hour_Crowd_Forecast,Next_2_Hour_Waiting_Time
Srisailam Mallikarjuna Temple,Temple,2025-05-12,Monday,8,No,No,No,Cloudy,Medium,25,Medium,Medium,45 minutes,Yes,375,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-12,Monday,11,No,No,No,Cloudy,Low,43,Medium,Medium,45 minutes,Yes,429,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-12,Monday,15,No,No,No,Sunny,Medium,34,Medium,Low,15 minutes,Yes,182,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-12,Monday,19,No,No,No,Sunny,Medium,10,Low,Low,15 minutes,Yes,110,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-13,Tuesday,8,No,No,No,Sunny,Low,24,Medium,Medium,45 minutes,Yes,372,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-13,Tuesday,11,No,No,No,Sunny,Medium,37,Low,Medium,45 minutes,Yes,411,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-13,Tuesday,15,No,No,No,Sunny,Medium,25,Medium,Low,15 minutes,Yes,155,Yes,100,Not Available,No,Below 30%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-05-13,Tuesday,19,No,No,Yes,Sunny,High,56,High,High,2 hours,Yes,968,Yes,1500,Not Available,No,60% to 85%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-14,Wednesday,8,No,No,No,Sunny,Medium,11,Low,Medium,45 minutes,Yes,333,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-14,Wednesday,11,No,No,No,Sunny,Medium,30,Medium,Medium,45 minutes,Yes,390,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-14,Wednesday,15,No,No,No,Sunny,Medium,39,Medium,Low,15 minutes,Yes,197,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-14,Wednesday,19,No,No,No,Sunny,Medium,37,Medium,Low,15 minutes,Yes,191,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-15,Thursday,8,No,No,No,Rainy,Medium,16,Low,Low,15 minutes,Yes,128,Yes,100,Not Available,No,Below 30%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-15,Thursday,11,No,No,No,Sunny,Medium,30,Medium,Medium,45 minutes,Yes,390,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-15,Thursday,15,No,No,No,Sunny,Medium,36,Medium,Low,15 minutes,Yes,188,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-15,Thursday,19,No,No,No,Sunny,Medium,27,Low,Low,15 minutes,Yes,161,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-16,Friday,8,No,No,No,Cloudy,Low,12,Low,Medium,45 minutes,Yes,336,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-16,Friday,11,No,No,No,Cloudy,Low,18,Medium,Medium,45 minutes,Yes,354,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-16,Friday,15,No,No,No,Cloudy,Medium,40,Medium,Low,15 minutes,Yes,200,Yes,100,Not Available,No,Below 30%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-05-16,Friday,19,No,No,Yes,Sunny,High,47,High,High,2 hours,Yes,941,Yes,1500,Not Available,No,60% to 85%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-17,Saturday,8,Yes,No,No,Cloudy,Medium,64,Medium,High,2 hours,Yes,992,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-05-17,Saturday,11,Yes,No,No,Sunny,High,62,Medium,High,2 hours,Yes,986,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-17,Saturday,15,Yes,No,No,Sunny,Medium,35,Low,Medium,45 minutes,Yes,405,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-17,Saturday,19,Yes,No,No,Cloudy,Medium,78,Medium,Medium,45 minutes,Yes,534,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-18,Sunday,8,Yes,No,No,Sunny,Medium,63,Medium,High,2 hours,Yes,989,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-05-18,Sunday,11,Yes,No,No,Sunny,High,52,Medium,High,2 hours,Yes,956,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-18,Sunday,15,Yes,No,No,Sunny,Medium,10,Low,Medium,45 minutes,Yes,330,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-18,Sunday,19,Yes,No,No,Sunny,Medium,61,Medium,Medium,45 minutes,Yes,483,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-19,Monday,8,No,No,Yes,Sunny,High,48,Medium,High,2 hours,Yes,944,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-19,Monday,11,No,No,No,Sunny,Medium,13,Medium,Medium,45 minutes,Yes,339,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-19,Monday,15,No,No,No,Cloudy,Medium,14,Medium,Low,15 minutes,Yes,122,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-19,Monday,19,No,No,No,Sunny,Low,18,Medium,Low,15 minutes,Yes,134,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-20,Tuesday,8,No,No,Yes,Sunny,High,65,Medium,High,2 hours,Yes,995,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-20,Tuesday,11,No,No,No,Cloudy,Medium,38,Medium,Medium,45 minutes,Yes,414,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-20,Tuesday,15,No,No,No,Sunny,Medium,34,Medium,Low,15 minutes,Yes,182,Yes,100,Not Available,No,Below 30%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-05-20,Tuesday,19,No,No,Yes,Sunny,High,62,High,High,2 hours,Yes,986,Yes,1500,Not Available,No,60% to 85%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-21,Wednesday,8,No,No,No,Sunny,Medium,20,Medium,Medium,45 minutes,Yes,360,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-21,Wednesday,11,No,No,No,Sunny,Medium,16,Medium,Medium,45 minutes,Yes,348,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-21,Wednesday,15,No,No,No,Sunny,Low,26,Low,Low,15 minutes,Yes,158,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-21,Wednesday,19,No,No,No,Sunny,Low,43,Low,Low,15 minutes,Yes,209,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-22,Thursday,8,No,No,No,Rainy,Medium,38,Low,Low,15 minutes,Yes,194,Yes,100,Not Available,No,Below 30%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-22,Thursday,11,No,No,No,Sunny,Medium,14,Medium,Medium,45 minutes,Yes,342,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-22,Thursday,15,No,No,No,Sunny,Low,27,Low,Low,15 minutes,Yes,161,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-22,Thursday,19,No,No,No,Sunny,Low,32,Low,Low,15 minutes,Yes,176,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-23,Friday,8,No,No,No,Cloudy,Medium,21,Low,Medium,45 minutes,Yes,363,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-23,Friday,11,No,No,No,Sunny,Low,25,Low,Medium,45 minutes,Yes,375,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-23,Friday,15,No,No,No,Sunny,Medium,34,Low,Low,15 minutes,Yes,182,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-23,Friday,19,No,No,No,Sunny,Medium,37,Low,Low,15 minutes,Yes,191,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-24,Saturday,8,Yes,No,No,Rainy,Medium,74,High,Medium,45 minutes,Yes,522,Yes,500,Not Available,No,30% to 60%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-05-24,Saturday,11,Yes,No,No,Sunny,High,60,Medium,High,2 hours,Yes,980,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-24,Saturday,15,Yes,No,No,Sunny,Medium,35,Medium,Medium,45 minutes,Yes,405,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-24,Saturday,19,Yes,No,No,Sunny,High,66,Medium,Medium,45 minutes,Yes,498,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-25,Sunday,8,Yes,No,No,Sunny,High,69,Medium,High,2 hours,Yes,1007,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-05-25,Sunday,11,Yes,No,No,Cloudy,Medium,54,Medium,High,2 hours,Yes,962,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-25,Sunday,15,Yes,No,No,Sunny,Low,31,Low,Medium,45 minutes,Yes,393,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-25,Sunday,19,Yes,No,No,Cloudy,High,63,Medium,Medium,45 minutes,Yes,489,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-26,Monday,8,No,No,No,Rainy,Low,20,Low,Low,15 minutes,Yes,140,Yes,100,Not Available,No,Below 30%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-26,Monday,11,No,No,No,Sunny,Low,32,Low,Medium,45 minutes,Yes,396,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-26,Monday,15,No,No,No,Sunny,Low,21,Medium,Low,15 minutes,Yes,143,Yes,100,Not Available,No,Below 30%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-05-26,Monday,19,No,No,Yes,Sunny,Medium,74,Medium,High,2 hours,Yes,1022,Yes,1500,Not Available,No,60% to 85%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-27,Tuesday,8,No,No,No,Sunny,Medium,22,Medium,Medium,45 minutes,Yes,366,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-27,Tuesday,11,No,No,No,Cloudy,Low,28,Low,Medium,45 minutes,Yes,384,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-27,Tuesday,15,No,No,Yes,Sunny,High,75,High,Medium,45 minutes,Yes,525,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-27,Tuesday,19,No,No,No,Cloudy,Low,34,Low,Low,15 minutes,Yes,182,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-28,Wednesday,8,No,No,No,Sunny,Medium,13,Low,Medium,45 minutes,Yes,339,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-28,Wednesday,11,No,No,No,Sunny,Low,24,Low,Medium,45 minutes,Yes,372,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-28,Wednesday,15,No,No,No,Cloudy,Medium,10,Medium,Low,15 minutes,Yes,110,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-28,Wednesday,19,No,No,No,Sunny,Medium,18,Medium,Low,15 minutes,Yes,134,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-29,Thursday,8,No,No,No,Sunny,Medium,36,Low,Medium,45 minutes,Yes,408,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-29,Thursday,11,No,No,No,Sunny,Low,24,Low,Medium,45 minutes,Yes,372,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-29,Thursday,15,No,No,No,Cloudy,Low,36,Medium,Low,15 minutes,Yes,188,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-29,Thursday,19,No,No,No,Cloudy,Low,26,Medium,Low,15 minutes,Yes,158,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-30,Friday,8,No,No,No,Sunny,Medium,23,Medium,Medium,45 minutes,Yes,369,Yes,500,Not Available,No,30% to 60%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-05-30,Friday,11,No,No,Yes,Sunny,High,74,High,High,2 hours,Yes,1022,Yes,1500,Not Available,No,60% to 85%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-30,Friday,15,No,No,No,Cloudy,Low,12,Low,Low,15 minutes,Yes,116,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-30,Friday,19,No,No,No,Sunny,Medium,11,Medium,Low,15 minutes,Yes,113,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-05-31,Saturday,8,Yes,No,No,Sunny,High,53,Medium,High,2 hours,Yes,959,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-05-31,Saturday,11,Yes,No,No,Sunny,High,69,Medium,High,2 hours,Yes,1007,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-31,Saturday,15,Yes,No,No,Sunny,Low,43,Medium,Medium,45 minutes,Yes,429,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-05-31,Saturday,19,Yes,No,No,Sunny,Medium,71,Medium,Medium,45 minutes,Yes,513,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-01,Sunday,8,Yes,No,No,Sunny,High,57,High,High,2 hours,Yes,971,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-06-01,Sunday,11,Yes,No,No,Sunny,Medium,75,Medium,High,2 hours,Yes,1025,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-01,Sunday,15,Yes,No,No,Sunny,Medium,17,Low,Medium,45 minutes,Yes,351,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-01,Sunday,19,Yes,No,No,Rainy,Low,19,Medium,Medium,45 minutes,Yes,357,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-02,Monday,8,No,No,No,Cloudy,Medium,24,Medium,Medium,45 minutes,Yes,372,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-02,Monday,11,No,No,No,Sunny,Low,21,Low,Medium,45 minutes,Yes,363,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-02,Monday,15,No,No,No,Sunny,Low,24,Low,Low,15 minutes,Yes,152,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-02,Monday,19,No,No,No,Sunny,Low,42,Low,Low,15 minutes,Yes,206,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-03,Tuesday,8,No,No,No,Sunny,Medium,44,Medium,Medium,45 minutes,Yes,432,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-03,Tuesday,11,No,No,No,Sunny,Medium,30,Low,Medium,45 minutes,Yes,390,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-03,Tuesday,15,No,No,No,Cloudy,Low,27,Medium,Low,15 minutes,Yes,161,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-03,Tuesday,19,No,No,No,Sunny,Medium,44,Medium,Low,15 minutes,Yes,212,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-04,Wednesday,8,No,No,No,Sunny,Medium,41,Medium,Medium,45 minutes,Yes,423,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-04,Wednesday,11,No,No,No,Sunny,Medium,17,Medium,Medium,45 minutes,Yes,351,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-04,Wednesday,15,No,No,No,Cloudy,Low,36,Medium,Low,15 minutes,Yes,188,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-04,Wednesday,19,No,No,No,Rainy,Medium,24,Medium,Low,15 minutes,Yes,152,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-05,Thursday,8,No,No,No,Sunny,Medium,26,Medium,Medium,45 minutes,Yes,378,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-05,Thursday,11,No,No,No,Sunny,Medium,26,Low,Medium,45 minutes,Yes,378,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-05,Thursday,15,No,No,No,Cloudy,Low,43,Medium,Low,15 minutes,Yes,209,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-05,Thursday,19,No,No,No,Sunny,Medium,33,Medium,Low,15 minutes,Yes,179,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-06,Friday,8,No,No,No,Sunny,Low,32,Medium,Medium,45 minutes,Yes,396,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-06,Friday,11,No,No,No,Sunny,Medium,34,Low,Medium,45 minutes,Yes,402,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-06,Friday,15,No,No,No,Cloudy,Medium,42,Low,Low,15 minutes,Yes,206,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-06,Friday,19,No,No,No,Sunny,Medium,43,Medium,Low,15 minutes,Yes,209,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-07,Saturday,8,Yes,No,No,Sunny,High,75,High,High,2 hours,Yes,1025,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Srisailam Mallikarjuna Temple,Temple,2025-06-07,Saturday,11,Yes,No,No,Sunny,Medium,46,High,High,2 hours,Yes,938,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-07,Saturday,15,Yes,No,No,Sunny,Medium,41,Medium,Medium,45 minutes,Yes,423,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-07,Saturday,19,Yes,No,No,Cloudy,Medium,71,High,Medium,45 minutes,Yes,513,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-08,Sunday,8,Yes,No,No,Rainy,High,56,Medium,Medium,45 minutes,Yes,468,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-08,Sunday,11,Yes,No,No,Rainy,High,53,High,Medium,45 minutes,Yes,459,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-08,Sunday,15,Yes,No,No,Sunny,Medium,13,Low,Medium,45 minutes,Yes,339,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-08,Sunday,19,Yes,No,No,Sunny,Medium,68,Medium,Medium,45 minutes,Yes,504,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-09,Monday,8,No,No,No,Sunny,Medium,15,Low,Medium,45 minutes,Yes,345,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-09,Monday,11,No,No,No,Cloudy,Low,24,Low,Medium,45 minutes,Yes,372,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-09,Monday,15,No,No,No,Sunny,Medium,22,Medium,Low,15 minutes,Yes,146,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-09,Monday,19,No,No,No,Sunny,Low,35,Low,Low,15 minutes,Yes,185,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-10,Tuesday,8,No,No,No,Sunny,Low,14,Medium,Medium,45 minutes,Yes,342,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-10,Tuesday,11,No,No,No,Sunny,Low,31,Low,Medium,45 minutes,Yes,393,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-10,Tuesday,15,No,No,No,Cloudy,Low,24,Low,Low,15 minutes,Yes,152,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-10,Tuesday,19,No,No,No,Sunny,Medium,18,Medium,Low,15 minutes,Yes,134,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-11,Wednesday,8,No,No,No,Cloudy,Low,27,Low,Medium,45 minutes,Yes,381,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-11,Wednesday,11,No,No,No,Sunny,Medium,26,Low,Medium,45 minutes,Yes,378,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-11,Wednesday,15,No,No,No,Cloudy,Low,38,Medium,Low,15 minutes,Yes,194,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-11,Wednesday,19,No,No,No,Cloudy,Low,26,Medium,Low,15 minutes,Yes,158,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-12,Thursday,8,No,No,No,Sunny,Medium,28,Low,Medium,45 minutes,Yes,384,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-12,Thursday,11,No,No,No,Sunny,Medium,43,Medium,Medium,45 minutes,Yes,429,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-12,Thursday,15,No,No,No,Sunny,Medium,30,Medium,Low,15 minutes,Yes,170,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-12,Thursday,19,No,No,No,Cloudy,Medium,37,Low,Low,15 minutes,Yes,191,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Srisailam Mallikarjuna Temple,Temple,2025-06-13,Friday,8,No,No,No,Cloudy,Low,32,Medium,Medium,45 minutes,Yes,396,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-13,Friday,11,No,No,No,Sunny,Medium,17,Medium,Medium,45 minutes,Yes,351,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-13,Friday,15,No,No,No,Sunny,Medium,13,Low,Low,15 minutes,Yes,119,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Srisailam Mallikarjuna Temple,Temple,2025-06-13,Friday,19,No,No,No,Sunny,Low,32,Low,Low,15 minutes,Yes,176,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
